Symbol,Atomic Number,Atomic Radius,Electronegativity,Valence
B,5,1.2,2.04,3
Si,14,1.5,1.9,4
Ge,32,1.5,2.01,4
As,33,1.3,2.18,5
Sb,51,1.5,2.05,5
Te,52,1.4,2.1,6
Po,84,1.5,2,6
